Meridian,Point Code,Point Name (pinyin),Chinese Name (hanzi),Location Description,Indications,Category,Element,Sex-specific Notes,Source
ST,ST37,Shangjuxu,上巨虛(虚),"On the anterior aspect of the leg, on the line connecting ST35 with ST41, 6 B-cun inferior to ST35. rior muscle. ST36 ST37tibialis anterior muscle tibialisanterior muscle WHO Standard aCUPUnCtUrE POInt LOCat IOnS 65",,,Earth,,
ST,ST38,Tiaokou,條(条)口,"On the anterior aspect of the leg, on the line connecting ST35 with ST41, 8 B-cun inferior to ST35. rior muscle, at the same level as St40.",,,Earth,,
ST,ST39,Xiajuxu,下巨虛(虚),"On the anterior aspect of the leg, on the line connecting ST35 with ST41, 9 B-cun inferior to ST35. rior muscle, at the same level as GB35 and gB36.ST38 ST39tibialis anterior muscle tibialisanterior muscle Stomach Meridian 66",,,Earth,,
ST,ST40,Fenglong,"豐(丰,豊)隆(隆)","On the anterolateral aspect of the leg, lat- eral border of the tibialis anterior muscle, 8 B-cun superior to the prominence of the lateral malleolus. finger) lateral to ST38.",,Luo,Earth,,
ST,ST41,Jiexi,解谿(溪),"On the anterior aspect of the ankle, in the depression at the centre of the front surface of the ankle joint, between the tendons of extensor hallucis longus and extensor digi-torum longus. on the dorsum of the foot which are more distinct when the ankle is in dorsiflexion, and is at the midpoint of the line connect-ing the prominences of the lateral malleo-lus and the medial malleolus. ST40 ST41tibialis anterior muscle one ﬁngerbreadth(middle ﬁnger) lateral malleolus lateral malleolusmedial malleolus extensor hallucis longus tendonextensor digitorum longustendon WHO Standard aCUPUnCtUrE POInt LOCat IOnS 67",,,Earth,,
ST,ST42,Chongyang,衝(冲)陽(阳),"On the dorsum of the foot, at the joint of the base of the second metatarsal bone and the intermediate cuneiform bone, over the dorsalis pedis artery.",,,Earth,,
ST,ST43,Xiangu,陷(陥)谷,"On the dorsum of the foot, between the second and third metatarsal bones, in the depression proximal to the second metatar-sophalangeal joint.ST42 ST43intermediate cuneiform bone dorsalis pedis artery second metatarsalbone thirdmetatarsalbonesecondmetatarsalbone secondmetatarso-phalangealjoint Stomach Meridian 68",,,Earth,,
ST,ST44,Neiting,内庭,"On the dorsum of the foot, between the second and third toes, posterior to the web margin, at the border between the red and white flesh.",,,Earth,,
ST,ST45,Lidui,厲(厉)兌(兑),"On the second toe, lateral to the distal phalanx, 0.1 f-cun proximal-lateral to the lateral corner of the second toenail, at the intersection of the vertical line of the lateral border and the horizontal line of the base of the second toenail.ST44 ST45border between red and white ﬂesh WHO Standard aCUPUnCtUrE POInt LOCat IOnS 69 SPLEEn MErIdIan 足太陰(阴)脾經(经,経) Spleen Meridian 70",,,Earth,,
SP,SP1,Yinbai,"隱(隐,隠)白","On the great toe, medial to the distal pha- lanx, 0.1 f-cun proximal-medial to the me-dial corner of the toenail, at the intersection of the vertical line of the medial border and horizontal line of the base of the toenail.",,,Earth,,
SP,SP2,Dadu,大都(都),"On the great toe, in the depression distal to the first metatarsophalangeal joint, at the border between the red and white flesh. SP1 SP2border between red and white ﬂesh ﬁrst metatarsophalangealjoint WHO Standard aCUPUnCtUrE POInt LOCat IOnS 71",,,Earth,,
SP,SP3,Taibai,太白,"On the medial aspect of the foot, in the de- pression proximal to the first metatarsopha - langeal joint, at the border between the red and white flesh.",,Source,Earth,,
SP,SP4,Gongsun,公孫(孙),"On the medial aspect of the foot, antero- inferior to the base of the first metatarsal bone, at the border between the red and white flesh. ing proximally from SP3. SP4 is located in the depression distal to the base of the first metatarsal bone.SP3 SP4border between red and white ﬂesh ﬁrst metatarsophalangealjoint border betweenred and white ﬂeshbase of theﬁrst metatarsalbone Spleen Meridian 72",,Luo,Earth,,
SP,SP5,Shangqiu,商丘,"On the medial aspect of the foot, antero- inferior to the medial malleolus, in the depression midway between the tuberosity of the navicular bone and the prominence of the medial malleolus. two imaginary lines: the vertical line of the anterior border of the medial malleolus and the horizontal line of the inferior border of the medial malleolus. anterior to KI6.",,,Earth,,
SP,SP6,Sanyinjiao,三陰(阴)交,"On the tibial aspect of the leg, posterior to the medial border of the tibia, 3 B-cun superior to the prominence of the medial malleolus. SP6medial malleolus navicular bone medial malleolustibia WHO Standard aCUPUnCtUrE POInt LOCat IOnS 73",,,Earth,,
SP,SP7,Lougu,漏谷,"On the tibial aspect of the leg, posterior to the medial border of the tibia, 6 B-cun superior to the prominence of the medial malleolus.",,,Earth,,
SP,SP8,Diji,地機(机),"On the tibial aspect of the leg, posterior to the medial border of the tibia, 3 B-cun inferior to SP9. upper one third and lower two thirds of the line connecting the apex of the patella with the prominence of the medial malleolus.  SP7 SP8medial malleolustibia tibiaapex of thepatella medial malleolus Spleen Meridian 74",,Xi-Cleft,Earth,,
SP,SP9,Yinlingquan,陰(阴)陵泉,"On the tibial aspect of the leg, in the de- pression between the inferior border of the medial condyle of the tibia and the medial border of the tibia. the knee joint when moving proximally along the medial border of the tibia. SP9 is located in a depression at the angle formed by the inferior border of the medial con-dyle of the tibia and the posterior border of the tibia.",,,Earth,,
SP,SP10,Xuehai,血海(海),"On the anteromedial aspect of the thigh, on the bulge of the vastus medialis muscle, 2 B-cun superior to the medial end of the base of the patella. SP9 SP10tibiamedial condyleof the tibia vastus medialismuscle medial end of thebase of the patella WHO Standard aCUPUnCtUrE POInt LOCat IOnS 75",,,Earth,,
SP,SP11,Jimen,箕門(门),"On the medial aspect of the thigh, at the junction of the upper one third and lower two thirds of the line connecting the medial end of the base of the patella with SP12, between the sartorius muscle and the ad-ductor longus muscle, over the femoral artery.",,,Earth,,
SP,SP12,Chongmen,衝(冲)門(门),"In the groin region, at the inguinal crease, lateral to the femoral artery. and inferior to SP13. SP11 SP12medial end of the base of the patellafemoralartery adductorlongusmuscle sartoriusmuscle inguinalcrease femoralartery Spleen Meridian 76",,,Earth,,
SP,SP13,Fushe,府舍(舎),"On the lower abdomen, 4.3 B-cun inferior to the centre of the umbilicus, 4 B-cun lateral to the anterior median line.",,,Earth,,
SP,SP14,Fujie,腹結(结),"On the lower abdomen, 1.3 B-cun inferior to the centre of the umbilicus, 4 B-cun lateral to the anterior median line.SP13 SP14 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 77",,,Earth,,
SP,SP15,Daheng,大橫,"On the upper abdomen, 4 B-cun lateral to the centre of the umbilicus. KI16 and CV8.",,,Earth,,
SP,SP16,Fuai,腹哀,"On the upper abdomen, 3 B-cun superior to the centre of the umbilicus, 4 B-cun lateral to the anterior median line. same level as CV11.SP15 SP16 Spleen Meridian 78",,,Earth,,
SP,SP17,Shidou,食竇(窦),"In the anterior thoracic region, in the fifth intercostal space, 6 B-cun lateral to the anterior median line. along the curve of the fifth intercostal space.",,,Earth,,
SP,SP18,Tianxi,天谿(溪),"In the anterior thoracic region, in the fourth intercostal space, 6 B-cun lateral to the anterior median line. along the curve of the fourth intercostal space.SP17 SP18 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 79",,,Earth,,
SP,SP19,Xiongxiang,"胸鄉(乡,郷)","In the anterior thoracic region, in the third intercostal space, 6 B-cun lateral to the anterior median line. along the curve of the third intercostal space.",,,Earth,,
SP,SP20,Zhourong,"周榮(荣,栄)","In the anterior thoracic region, in the sec- ond intercostal space, 6 B-cun lateral to the anterior median line. along the curve of the second intercostal space.SP19 SP20 Spleen Meridian 80",,,Earth,,
SP,SP21,Dabao,大包(包),"In the lateral thoracic region, in the sixth intercostal space, on the midaxillary line. and the arm abducted, SP21 is located at the intersection of the midaxillary line and the sixth intercostal space. SP21midaxillary line WHO Standard aCUPUnCtUrE POInt LOCat IOnS 81 HEart  MErIdIan 手少陰(阴)心經(经,経) Heart Meridian 82",,,Earth,,
HT,HT1,Jiquan,極(极)泉,"In the axilla, in the centre of the axillary fossa, over the axillary artery.",,,Fire,,
HT,HT2,Qingling,"靑(青)靈(灵,霊)","On the medial aspect of the arm, just me- dial to the biceps brachii muscle, 3 B-cun superior to the cubital crease. abducted, Ht2 is located at the junction of the upper two thirds and lower one third of the line connecting Ht1 with Ht3.HT1 HT2axillary fossa axillary artery cubital crease biceps brachii muscle WHO Standard aCUPUnCtUrE POInt LOCat IOnS 83",,,Fire,,
HT,HT3,Shaohai,少海(海),"On the anteromedial aspect of the elbow, just anterior to the medial epicondyle of the humerus, at the same level as the cubital crease. cated at the midpoint of the line connecting the medial end of the cubital crease and the medial epicondyle of the humerus.",,,Fire,,
HT,HT4,Lingdao,"靈(灵,霊)道(道)","On the anteromedial aspect of the forearm, just radial to the flexor carpi ulnaris tendon, 1.5 B-cun proximal to the palmar wrist crease. same level as the superior border of the head of the ulna. side of the superior border of the pisiform bone.HT3 HT4cubital crease epicondyle of the humerus ulna ﬂexor carpi ulnaris tendon palmar wrist crease pisiformbone Heart Meridian 84",,,Fire,,
HT,HT5,Tongli,通(通)里,"On the anteromedial aspect of the forearm, radial to the flexor carpi ulnaris tendon, 1 B-cun proximal to the palmar wrist crease. is located at the level with the root of the head of the ulna, HT 5, the body of the head of the ulna and Ht 6, the base of the head of the ulna. side of the proximal border of the pisiform bone.",,Luo,Fire,,
HT,HT6,Yinxi,陰(阴)郄,"On the anteromedial aspect of the forearm, radial to the flexor carpi ulnaris tendon, 0.5 B-cun proximal to the palmar wrist crease. same level as the distal border of the head of the ulna. side of the proximal border of the pisiform bone.HT5 HT6ulna ﬂexor carpi ulnaris tendon palmar wristcrease pisiformbone ulna ﬂexor carpi ulnaris tendon palmar wristcrease pisiformbone WHO Standard aCUPUnCtUrE POInt LOCat IOnS 85",,Xi-Cleft,Fire,,
HT,HT7,Shenmen,神(神)門(门),"On the anteromedial aspect of the wrist, radial to the flexor carpi ulnaris tendon, on the palmar wrist crease. mal border of the pisiform bone, on the palmar wrist crease.",,,Fire,,
HT,HT8,Shaofu,少府,"On the palm of the hand, in the depression between the fourth and fifth metacarpal bones, proximal to the fifth metacarpopha - langeal joint. pal bones, where the tip of the little finger rests when a fist is made, at the same level as PC8.HT7 HT8ulna ﬂexor carpi ulnaris tendon palmar wristcrease pisiformbone metacarpalbone ﬁfth metacarpo-phalangeal joint Heart Meridian 86",,,Fire,,
HT,HT9,Shaochong,少衝(冲),"On the little finger, radial to the distal phalanx, 0.1 f-cun proximal-lateral to the radial corner of the little fingernail, at the intersection of the vertical line of the radial border of the nail and horizontal line of the base of the little fingernail. HT9 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 87 SMaLL I ntEStInE MErIdIan 手太陽(阳)小腸(肠)經(经,経) Small Intestine Meridian 88",,,Fire,,
SI,SI1,Shaoze,"少澤(泽,沢)","On the little finger, ulnar to the distal phalanx, 0.1 f-cun proximal-medial to the ulnar corner of the little fingernail, at the intersection of the vertical line of ulnar border of the nail and horizontal line of the base of the little fingernail.",,,Fire,,
SI,SI2,Qiangu,前谷,"On the little finger, in the depression distal to the ulnar side of the fifth metacarpopha - langeal joint, at the border between the red and white flesh. the point is located at the ulnar end of the palmar metacarpophalangeal crease of the little finger. SI1 SI2palmar metacarpophalangealcreaseﬁfthmetacarpophalangealjoint border betweenred and white ﬂesh WHO Standard aCUPUnCtUrE POInt LOCat IOnS 89",,,Fire,,
SI,SI3,Houxi,後(后)谿(溪),"On the dorsum of the hand, in the depres- sion proximal to the ulnar side of the fifth metacarpophalangeal joint, at the border between the red and white flesh. point is located at the ulnar end of the dis-tal transverse skin crease of the palm, at the border between the red and white flesh.",,,Fire,,
SI,SI4,Wangu,腕骨(骨),"On the posteromedial aspect of the wrist, in the depression between the base of the fifth metacarpal bone and the triquetrum bone, at the border between the red and white flesh. and slide proximally along the fifth meta - carpal bone to the bony projection, SI4 is located in the depression between these two bones.  SI3 SI4ﬁfth metacarpophalangeal joint border betweenred and white ﬂesh distal transverse skincrease of the palm border betweenred and white ﬂeshﬁfth metacarpalbonetriquetrum bone Small Intestine Meridian 90",,Source,Fire,,
SI,SI5,Yanggu,陽(阳)谷,"On the posteromedial aspect of the wrist, in the depression between the triquetrum bone and the ulnar styloid process.",,,Fire,,
SI,SI6,Yanglao,養(养)老,"On the posteromedial aspect of the fore- arm, in the depression radial to the head of the ulnar bone, 1 B-cun proximal to the dorsal wrist crease. press the highest point of the head of ulnar bone with a finger, and then turn the palm towards the chest; SI6 is located at the cleft between the bones where the finger slides. SI5 SI6triquetrum boneulnar styloid process dorsal wristcrease head of the ulnar bone WHO Standard aCUPUnCtUrE POInt LOCat IOnS 91",,Xi-Cleft,Fire,,
SI,SI7,Zhizheng,支正,"On the posteromedial aspect of the fore- arm, between the medial border of the ulnar bone and the flexor carpi ulnaris muscle, 5 B-cun proximal to the dorsal wrist crease. line connecting SI5 with SI8.",,Luo,Fire,,
SI,SI8,Xiaohai,小海(海),"On the posteromedial aspect of the elbow, in the depression between the olecranon and the medial epicondyle of the humerus bone. SI 8 is located in the groove for the ulnar nerve. SI7 SI8ﬂexor carpi ulnaris muscle ulna dorsal wristcrease medialepicondylehumerus bone groove for theulnar nerveolecranon Small Intestine Meridian 92",,,Fire,,
SI,SI9,Jianzhen,肩貞(贞),"On the shoulder girdle, posteroinferior to the shoulder joint, 1 B-cun superior to the posterior axillary fold. cated 1 B-cun superior to the posterior axil- lary fold, posterior to the deltoid muscle.",,,Fire,,
SI,SI10,Naoshu,臑兪(俞),"On the shoulder girdle, superior to the posterior axillary fold, in the depression inferior to the spine of the scapula.SI9 SI10deltoid muscle posterior axillary fold spine of the scapula posterioraxillary fold WHO Standard aCUPUnCtUrE POInt LOCat IOnS 93",,,Fire,,
SI,SI11,Tianzong,天宗,"In the scapular region, in the depression between the upper one third and lower two thirds of the line connecting the midpoint of the spine of the scapula with the inferior angle of the scapula.",,,Fire,,
SI,SI12,Bingfeng,秉風(风),"In the scapular region, in the supraspina- tous fossa, superior to the midpoint of the spine of the scapula.SI11 SI12spine of the scapula inferior angleof the scapula spine of thescapula Small Intestine Meridian 94",,,Fire,,
SI,SI13,Quyuan,曲垣,"In the scapular region, in the depression superior to the medial end of the spine of the scapula. line connecting SI10 with the spinous pro-cess of the second thoracic vertebra (T2).",,,Fire,,
SI,SI14,Jianwaishu,肩外兪(俞),"In the upper back region, at the same level as the inferior border of the spinous process of the first thoracic vertebra (T1), 3 B-cun lateral to the posterior median line. of two imaginary lines: the vertical line of the medial extremity of the spine of the scapula and the horizontal line inferior to the spinous process of the first thoracic vertebra (T1). BL11, gV13, and the inferior border of the spinous process of the first thoracic verte - bra (T1).SI13 SI14spine of the scapula WHO Standard aCUPUnCtUrE POInt LOCat IOnS 95",,,Fire,,
SI,SI15,Jianzhongshu,肩中兪(俞),"In the upper back region, at the same level as the inferior border of the spinous pro-cess of the seventh cervical vertebra (C7), 2 B-cun lateral to the posterior median line. of two imaginary lines: the vertical line of the junction of the lateral one third and the medial two thirds of the line connecting the posterior median line with the medial border of the scapula and the horizontal line inferior to the spinous process of the seventh cervical vertebra (C7).",,,Fire,,
SI,SI16,Tianchuang,天窗(窓),"In the anterior region of the neck, posterior to the sternocleidomastoid muscle, at the same level as the superior border of the thyroid cartilage. more distinct when the head is turned to the opposite side against resistance. St9, LI18 and the superior border of the thyroid cartilage. St9 is located anterior to the sternocleidomastoid muscle, SI16, posterior to the sternocleidomastoid muscle and LI18, midway between the anterior and posterior borders of the sternocleidomas-toid muscle. SI15 SI16scapula thyroid cartilage sternocleidomastoid muscle Small Intestine Meridian 96",,,Fire,,
SI,SI17,Tianrong,天容,"In the anterior region of the neck, posterior to the angle of the mandible, in the depres-sion anterior to the sternocleidomastoid muscle. more distinct when the head is turned to the opposite side against resistance.",,,Fire,,
SI,SI18,Quanliao,顴(颧)髎(髎),"On the face, inferior to the zygomatic bone, in the depression directly inferior to the outer canthus of the eye. SI17 SI18sternocleidomastoid muscleangle of themandible zygomaticbone WHO Standard aCUPUnCtUrE POInt LOCat IOnS 97",,,Fire,,
SI,SI19,Tinggong,"聽(听,聴)宮(宫)","On the face, in the depression between the anterior border of the centre of the tragus and the posterior border of the condylar process of the mandible. SI19 is located in the depression anterior to the centre of the tragus, between tE21 and gB2. SI19tragus condylar process of the mandible WHO Standard aCUPUnCtUrE POInt LOCat IOnS 99 BLaddEr MErIdIan 足太陽(阳)膀胱經(经,経) Bladder Meridian 100",,,Fire,,
BL,BL1,Jingming,睛(睛)明,"On the face, in the depression between the superomedial parts of the inner canthus of the eye and the medial wall of the orbit. cated in the depression 0.1 B-cun superior and medial to the inner canthus of the eye.",,,Water,,
BL,BL2,Cuanzhu,"攢(攒,攅)竹","On the head, in the depression at the medial end of the eyebrow. often be palpated on the medial end of the eyebrow directly superior to BL1.BL1 BL2frontal notch WHO Standard aCUPUnCtUrE POInt LOCat IOnS 101",,,Water,,
BL,BL3,Meichong,眉衝(冲),"On the head, superior to the frontal notch, 0.5 B-cun superior to the anterior hairline.Note: Midway between GV24 and BL4.",,,Water,,
BL,BL4,Qucha,曲差,"On the head, 0.5 B-cun superior to the anterior hairline, 1.5 B-cun lateral to the anterior median line. third and lateral two thirds of the line con-necting gV24 with St8.BL3 BL4frontal notch Bladder Meridian 102",,,Water,,
BL,BL5,Wuchu,"五處(处,処)","On the head, 1 B-cun superior to the ante- rior hairline, 1.5 B-cun lateral to the ante - rior median line. same level as gV23.",,,Water,,
BL,BL6,Chengguang,承光,"On the head, 2.5 B-cun superior to the anterior hairline, 1.5 B-cun lateral to the anterior median line. superior to BL4 BL5 BL6 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 103",,,Water,,
BL,BL7,Tongtian,通(通)天,"On the head, 4 B-cun superior to the ante- rior hairline, 1.5 B-cun lateral to the ante - rior median line.",,,Water,,
BL,BL8,Luoque,絡(络)卻(却),"On the head, 5.5 B-cun superior to the anterior hairline, 1.5 B-cun lateral to the anterior median line. lateral to gV20. BL7 BL8 Bladder Meridian 104",,,Water,,
BL,BL9,Yuzhen,玉枕,"On the head, at the same level as the superior border of the external occipital protuberance, and 1.3 B-cun lateral to the posterior median line. two imaginary lines: the vertical line of the lateral border of the trapezius muscle and the horizontal line of the superior border of the external occipital protuberance. at the same level as gV17.",,,Water,,
BL,BL10,Tianzhu,天柱,"In the posterior region of the neck, at the same level as the superior border of the spinous process of the second cervical ver-tebra (C2), in the depression lateral to the trapezius muscle.  BL9 BL10external occipitalproturberance trapezius muscle trapezius muscle WHO Standard aCUPUnCtUrE POInt LOCat IOnS 105",,,Water,,
BL,BL11,Dazhu,大杼,"In the upper back region, at the same level as the inferior border of the spinous pro-cess of the first thoracic vertebra (T1), 1.5 B-cun lateral to the posterior median line.",,,Water,,
BL,BL12,Fengmen,風(风)門(门),"In the upper back region, at the same level as the inferior border of the spinous process of the second thoracic vertebra (T2), 1.5 B-cun lateral to the posterior median line.BL11 BL12 Bladder Meridian 106",,,Water,,
BL,BL13,Feishu,肺兪(俞),"In the upper back region, at the same level as the inferior border of the spinous pro-cess of the third thoracic vertebra (T3), 1.5 B-cun lateral to the posterior median line.",,,Water,,
BL,BL14,Jueyinshu,厥陰(阴)兪(俞),"In the upper back region, at the same level as the inferior border of the spinous process of the fourth thoracic vertebra (T4), 1.5 B-cun lateral to the posterior median line.BL13 BL14 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 107",,,Water,,
BL,BL15,Xinshu,心兪(俞),"In the upper back region, at the same level as the inferior border of the spinous pro-cess of the fifth thoracic vertebra (T5), 1.5 B-cun lateral to the posterior median line.",,,Water,,
BL,BL16,Dushu,督兪(俞),"In the upper back region, level with the inferior border of the spinous process of the sixth thoracic vertebra (T6), 1.5 B-cun lateral to the posterior median line.BL15 BL16 Bladder Meridian 108",,,Water,,
BL,BL17,Geshu,膈兪(俞),"In the upper back region, at the same level as the inferior border of the spinous process of the seventh thoracic vertebra (T7), 1.5 B-cun lateral to the posterior median line. the same level as the spinous process of the seventh thoracic vertebra.",,,Water,,
BL,BL18,Ganshu,肝兪(俞),"In the upper back region, at the same level as the inferior border of the spinous pro-cess of the ninth thoracic vertebra (T9), 1.5 B-cun lateral to the posterior median line.BL17 BL18 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 109",,,Water,,
BL,BL19,Danshu,膽兪(俞),"In the upper back region, at the same level as the inferior border of the spinous process of the tenth thoracic vertebra (T10), 1.5 B-cun lateral to the posterior median line.",,,Water,,
BL,BL20,Pishu,脾兪(俞),"In the upper back region, at the same level as the inferior border of the spinous pro-cess of the 11th thoracic vertebra (T11), 1.5 B-cun lateral to the posterior median line.BL19 BL20 Bladder Meridian 110",,,Water,,
BL,BL21,Weishu,胃兪(俞),"In the upper back region, at the same level as the inferior border of the spinous process of the 12th thoracic vertebra (T12), 1.5 B-cun lateral to the posterior median line.",,,Water,,
BL,BL22,Sanjiaoshu,三焦兪(俞),"In the lumbar region, at the same level as the inferior border of the spinous process of the first lumbar vertebra (L1), 1.5 B-cun lateral to the posterior median line. BL21 BL22 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 111",,,Water,,
BL,BL23,Shenshu,腎兪(俞),"In the lumbar region, at the same level as the inferior border of the spinous process of the second lumbar vertebra (L2), 1.5 B-cun lateral to the posterior median line.",,,Water,,
BL,BL24,Qihaishu,"氣(气,気)海(海)兪(俞)","In the lumbar region, at the same level as the inferior border of the spinous process of the third lumbar vertebra (L3), 1.5 B-cun lateral to the posterior median line.BL23 BL24 Bladder Meridian 112",,,Water,,
BL,BL25,Dachangshu,大腸兪(俞),"In the lumbar region, at the same level as the inferior border of the spinous process of the fourth lumbar vertebra (L4), 1.5 B-cun lateral to the posterior median line.",,,Water,,
BL,BL26,Guanyuanshu,"關(关,関)元兪(俞)","In the lumbar region, at the same level as the inferior border of the spinous process of the fifth lumbar vertebra (L5), 1.5 B-cun lateral to the posterior median line.BL25 BL26 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 113",,,Water,,
BL,BL27,Xiaochangshu,小腸(肠)兪(俞),"In the sacral region, at the same level as the first posterior sacral foramen, and 1.5 B-cun lateral to the median sacral crest.",,,Water,,
BL,BL28,Pangguangshu,膀胱兪(俞),"In the sacral region, at the same level as the second posterior sacral foramen, and 1.5 B-cun lateral to the median sacral crest. BL28ﬁrst posterior sacral foramen second posteriorsacral foramen Bladder Meridian 114",,,Water,,
BL,BL29,Zhonglushu,中膂兪(俞),"In the sacral region, at the same level as the third posterior sacral foramen, 1.5 B-cun lateral to the median sacral crest.",,,Water,,
BL,BL30,Baihuanshu,白環(环)兪(俞),"In the sacral region, at the same level as the fourth posterior sacral foramen, 1.5 B-cun lateral to the median sacral crest. at the same level as BL34.BL29 BL30third posterior sacral foramen fourth posteriorsacral foramen WHO Standard aCUPUnCtUrE POInt LOCat IOnS 115",,,Water,,
BL,BL31,Shangliao,上髎(髎),"In the sacral region, in the first posterior sacral foramen. palpated in the depression, moving superi-orly from BL32.",,,Water,,
BL,BL32,Ciliao,次髎(髎),"In the sacral region, in the second posterior sacral foramen. is located in the depression, midway be-tween the posterior superior iliac spine and the spinous process of the second sacral vertebra.  BL31 BL32ﬁrst posterior sacral foramen second posteriorsacral foramen posteriorsuperioriliac spine Bladder Meridian 116",,,Water,,
BL,BL33,Zhongliao,中髎(髎),"In the sacral region, in the third posterior sacral foramen. is located in the first depression, moving downward from BL32.",,,Water,,
BL,BL34,Xialiao,下髎(髎),"In the sacral region, in the fourth posterior sacral foramen. is located in the second depression, moving downward from BL32, at the same level as the sacral hiatus.BL33 BL34third posterior sacral foramen fourth posteriorsacral foramen sacral hiatus WHO Standard aCUPUnCtUrE POInt LOCat IOnS 117",,,Water,,
BL,BL35,Huiyang,會(会)陽(阳),"In the buttock region, 0.5 B-cun lateral to the extremity of the coccyx. or knee-chest position. BL35 is located at the soft depression lateral to the extremity of the coccyx.",,,Water,,
BL,BL36,Chengfu,承扶,"In the buttock region, at the midpoint of the gluteal fold.BL35 BL36coccyx Bladder Meridian 118",,,Water,,
BL,BL37,Yinmen,殷門(门),"On the posterior aspect of the thigh, be- tween the biceps femoris and the semiten-dinosus muscles, 6 B-cun inferior to the gluteal fold. dinosus and the biceps femoris muscles are more distinct when the knee is flexed against resistance. In addition, it is easier to find the two muscles with internal and external rotation of the hip. the line connecting BL36 with BL40.",,,Water,,
BL,BL38,Fuxi     (,浮)郄,"On the posterior aspect of the knee, just medial to the biceps femoris tendon, 1 B-cun proximal to the popliteal crease. is located medial to the biceps femoris ten-don, 1 B-cun proximal to BL39. BL37 BL38 gluteal fold biceps femorismuscle semitendinosusmuscle biceps femoris tendon popliteal crease WHO Standard aCUPUnCtUrE POInt LOCat IOnS 119",,,Water,,
BL,BL39,Weiyang,委陽(阳),"On the posterolateral aspect of the knee, just medial to the biceps femoris tendon in the popliteal crease. prominent when the knee is slightly flexed.",,,Water,,
BL,BL40,Weizhong,委中,"On the posterior aspect of the knee, at the midpoint of the popliteal crease. BL39 BL40biceps femoris tendon popliteal crease popliteal crease Bladder Meridian 120",,,Water,,
BL,BL41,Fufen,附分,"In the upper back region, at the same level as the inferior border of the spinous pro-cess of the second thoracic vertebra (T2), 3 B-cun lateral to the posterior median line. same level as the inferior border of the spinous process of the second thoracic vertebra (T2).",,,Water,,
BL,BL42,Pohu,魄户,"In the upper back region, at the same level as the inferior border of the spinous process of the third thoracic vertebra (T3), 3 B-cun lateral to the posterior median line. the same level as the inferior border of the third thoracic vertebra (T3).BL41 BL42 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 121",,,Water,,
BL,BL43,Gaohuang,膏肓,"In the upper back region, at the same level as the inferior border of the spinous pro-cess of the fourth thoracic vertebra (T4), 3 B-cun lateral to the posterior median line. same level as the inferior border of the spinous process of the fourth thoracic ver-tebra (T4).",,,Water,,
BL,BL44,Shentang,神(神)堂,"In the upper back region, at the same level as the inferior border of the spinous process of the fifth thoracic vertebra (T5), 3 B-cun lateral to the posterior median line. the same level as the inferior border of the spinous process of the fifth thoracic verte - bra (T5). BL43 BL44 Bladder Meridian 122",,,Water,,
BL,BL45,Yixi,譩譆,"In the upper back region, at the same level as the inferior border of the spinous process of the sixth thoracic vertebra (T6), 3 B-cun lateral to the posterior median line. at the same level as the inferior border of the spinous process of the sixth thoracic vertebra (T6).",,,Water,,
BL,BL46,Geguan,"膈關(关,関)","In the upper back region, at the same level as the inferior border of the spinous pro-cess of the seventh thoracic vertebra (T7), 3 B-cun lateral to the posterior median line. at the same level as the inferior border of the spinous process of the seventh thoracic vertebra (T7).BL45 BL46 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 123",,,Water,,
BL,BL47,Hunmen,魂門(门),"In the upper back region, at the same level as the inferior border of the spinous process of the ninth thoracic vertebra (T9), 3 B-cun lateral to the posterior median line. at the same level as the inferior border of the spinous process of the ninth thoracic vertebra (T9).",,,Water,,
BL,BL48,Yanggang,陽(阳)綱(纲),"In the upper back region, at the same level as the inferior border of the spinous pro-cess of the tenth thoracic vertebra (T10), 3 B-cun lateral to the posterior median line. at the same level as the inferior border of the spinous process of the tenth thoracic vertebra (T10).BL47 BL48 Bladder Meridian 124",,,Water,,
BL,BL49,Yishe,意舍(舎),"In the upper back region, at the same level as the inferior border of the spinous process of the 11th thoracic vertebra (T11), 3 B-cun lateral to the posterior median line. the same level as the inferior border of the spinous process of the 11th thoracic verte-bra (T11).",,,Water,,
BL,BL50,Weicang,胃倉(仓),"In the upper back region, at the same level as the inferior border of the spinous pro-cess of the 12th thoracic vertebra (T12), 3 B-cun lateral to the posterior median line. same level as the inferior border of the spinous process of the 12th thoracic verte-bra (T12).BL49 BL50 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 125",,,Water,,
BL,BL51,Huangmen,肓門(门),"In the lumbar region, at the same level as the inferior border of the spinous process of the first lumbar vertebra (L1), 3 B-cun lateral to the posterior median line. the same level as the inferior border of the spinous process of the first lumbar vertebra (L1).",,,Water,,
